Date,Close,Company,Ticker
2025-01-02,234.5383453369141,Adidas,ADS.DE
2025-01-03,231.46665954589844,Adidas,ADS.DE
2025-01-06,237.31277465820312,Adidas,ADS.DE
2025-01-07,241.0780792236328,Adidas,ADS.DE
2025-01-08,242.4652862548828,Adidas,ADS.DE
2025-01-09,243.75341796875,Adidas,ADS.DE
2025-01-10,241.57351684570312,Adidas,ADS.DE
2025-01-13,236.61917114257807,Adidas,ADS.DE
2025-01-14,235.13287353515625,Adidas,ADS.DE
2025-01-15,238.89817810058597,Adidas,ADS.DE
2025-01-16,240.1862945556641,Adidas,ADS.DE
2025-01-17,240.1862945556641,Adidas,ADS.DE
2025-01-20,240.1862945556641,Adidas,ADS.DE
2025-01-21,240.1862945556641,Adidas,ADS.DE
2025-01-22,255.742919921875,Adidas,ADS.DE
2025-01-23,256.5356140136719,Adidas,ADS.DE
2025-01-24,256.5356140136719,Adidas,ADS.DE
2025-01-27,252.77032470703125,Adidas,ADS.DE
2025-01-28,251.2840118408203,Adidas,ADS.DE
2025-01-29,254.15753173828125,Adidas,ADS.DE
2025-01-30,257.130126953125,Adidas,ADS.DE
2025-01-31,252.57212829589844,Adidas,ADS.DE
2025-02-03,251.18492126464844,Adidas,ADS.DE
2025-02-04,251.2840118408203,Adidas,ADS.DE
2025-02-05,249.99588012695312,Adidas,ADS.DE
2025-02-06,257.130126953125,Adidas,ADS.DE
2025-02-07,251.2840118408203,Adidas,ADS.DE
2025-02-10,251.2840118408203,Adidas,ADS.DE
2025-02-11,252.37396240234372,Adidas,ADS.DE
2025-02-12,257.5264587402344,Adidas,ADS.DE
2025-02-13,260.697265625,Adidas,ADS.DE
2025-02-14,256.4365234375,Adidas,ADS.DE
2025-02-17,257.4273681640625,Adidas,ADS.DE
2025-02-18,252.8694000244141,Adidas,ADS.DE
2025-02-19,248.41049194335935,Adidas,ADS.DE
2025-02-20,244.54611206054688,Adidas,ADS.DE
2025-02-21,243.65432739257807,Adidas,ADS.DE
2025-02-24,242.96072387695312,Adidas,ADS.DE
2025-02-25,242.8616485595703,Adidas,ADS.DE
2025-02-26,242.8616485595703,Adidas,ADS.DE
2025-02-27,243.1588897705078,Adidas,ADS.DE
2025-02-28,243.9515838623047,Adidas,ADS.DE
2025-03-03,245.93331909179688,Adidas,ADS.DE
2025-03-04,235.5292205810547,Adidas,ADS.DE
2025-03-05,235.82647705078125,Adidas,ADS.DE
2025-03-06,238.99725341796875,Adidas,ADS.DE
2025-03-07,234.2410888671875,Adidas,ADS.DE
2025-03-10,224.728759765625,Adidas,ADS.DE
2025-03-11,220.3689422607422,Adidas,ADS.DE
2025-03-12,219.27899169921875,Adidas,ADS.DE
2025-03-13,217.79269409179688,Adidas,ADS.DE
2025-03-14,220.9634704589844,Adidas,ADS.DE
2025-03-17,220.9634704589844,Adidas,ADS.DE
2025-03-18,221.2607269287109,Adidas,ADS.DE
2025-03-19,224.23333740234372,Adidas,ADS.DE
2025-03-20,220.9634704589844,Adidas,ADS.DE
2025-03-21,222.0534210205078,Adidas,ADS.DE
2025-03-24,222.0534210205078,Adidas,ADS.DE
2025-03-25,222.15249633789065,Adidas,ADS.DE
2025-03-26,219.47715759277344,Adidas,ADS.DE
2025-03-27,219.97259521484372,Adidas,ADS.DE
2025-03-28,219.87350463867188,Adidas,ADS.DE
2025-03-31,214.7209930419922,Adidas,ADS.DE
2025-04-01,221.2607269287109,Adidas,ADS.DE
2025-04-02,218.9817352294922,Adidas,ADS.DE
2025-04-03,193.3182678222656,Adidas,ADS.DE
2025-04-04,194.3586578369141,Adidas,ADS.DE
2025-04-07,184.64817810058597,Adidas,ADS.DE
2025-04-08,188.1162109375,Adidas,ADS.DE
2025-04-09,184.4499969482422,Adidas,ADS.DE
2025-04-10,194.95318603515625,Adidas,ADS.DE
2025-04-11,194.06141662597656,Adidas,ADS.DE
2025-04-14,200.4525146484375,Adidas,ADS.DE
2025-04-15,200.4525146484375,Adidas,ADS.DE
2025-04-16,196.73675537109372,Adidas,ADS.DE
2025-04-17,196.83583068847656,Adidas,ADS.DE
2025-04-22,202.3351593017578,Adidas,ADS.DE
2025-04-23,208.37945556640625,Adidas,ADS.DE
2025-04-24,213.6310577392578,Adidas,ADS.DE
2025-04-25,215.0182647705078,Adidas,ADS.DE
2025-04-28,215.4145965576172,Adidas,ADS.DE
2025-04-29,208.47853088378903,Adidas,ADS.DE
2025-04-30,199.8579864501953,Adidas,ADS.DE
2025-05-02,204.81231689453125,Adidas,ADS.DE
2025-05-05,205.50592041015625,Adidas,ADS.DE
2025-05-06,202.9296722412109,Adidas,ADS.DE
2025-05-07,205.010498046875,Adidas,ADS.DE
2025-05-08,206.9922332763672,Adidas,ADS.DE
2025-05-09,207.09132385253903,Adidas,ADS.DE
2025-05-12,214.919174194336,Adidas,ADS.DE
2025-05-13,221.55799865722656,Adidas,ADS.DE
2025-05-14,221.55799865722656,Adidas,ADS.DE
2025-05-15,217.0,Adidas,ADS.DE
2025-05-16,219.1000061035156,Adidas,ADS.DE
2025-05-19,218.3000030517578,Adidas,ADS.DE
2025-05-20,220.6999969482422,Adidas,ADS.DE
2025-05-21,220.3000030517578,Adidas,ADS.DE
2025-05-22,218.3000030517578,Adidas,ADS.DE
2025-05-23,214.0,Adidas,ADS.DE
2025-05-26,218.6999969482422,Adidas,ADS.DE
2025-05-27,220.5,Adidas,ADS.DE
2025-05-28,218.5,Adidas,ADS.DE
2025-05-29,220.1000061035156,Adidas,ADS.DE
