date,avg_sentiment,Close,sentiment_7d,sentiment_change,alert,stock_price_return,sentiment_lag1,sentiment_lag3,return_7d,volatility_7d,sentiment_zscore,alert_combined,weekday,month
2025-03-04,0.6597,59.14552307128906,,,False,,,,,,,False,Tuesday,3
2025-03-05,0.7096,63.23383712768555,,0.049900000000000055,False,0.06912296728644662,0.6597,,,,,False,Wednesday,3
2025-03-17,0.6997,67.76568603515625,,-0.00990000000000002,False,0.07166809912736638,0.7096,,,,,False,Monday,3
2025-03-18,0.0,68.53707122802734,,-0.6997,True,0.011383123790275063,0.6997,0.6597,,,,False,Tuesday,3
2025-03-26,0.0,67.70783996582031,,0.0,False,-0.012099018054741895,0.0,0.7096,,,,False,Wednesday,3
2025-03-28,0.0,64.37162017822266,,0.0,False,-0.04927375898096609,0.0,0.6997,,,,False,Friday,3
2025-04-04,0.0,58.3934326171875,0.29557142857142854,0.0,False,-0.09286992535660332,0.0,0.0,,4.164283785061261,,False,Friday,4
2025-04-07,0.0,56.67710876464844,0.20132857142857144,0.0,False,-0.02939241239320256,0.0,0.0,-0.04173459255175416,4.726705898831551,,False,Monday,4
2025-04-08,0.0,59.299800872802734,0.09995714285714286,0.0,False,0.046274274840747864,0.0,0.0,-0.06221409981714332,5.03103915156517,,False,Tuesday,4
2025-04-10,0.1027,58.60555648803711,0.014671428571428571,0.1027,False,-0.01170736451973542,0.0,0.0,-0.1351735676720951,4.848838531017483,,False,Thursday,4
2025-04-11,0.1779,58.89482879638672,0.04008571428571429,0.0752,False,0.004935919487577101,0.1027,0.0,-0.14068652568418416,3.9490830024969594,,False,Friday,4
2025-04-14,0.296,60.51472091674805,0.08237142857142857,0.11809999999999998,False,0.027504827732188097,0.1779,0.0,-0.10623760930349324,2.420483714039664,,False,Monday,4
2025-04-15,0.60305,60.51472091674805,0.16852142857142857,0.30705,False,0.0,0.296,0.1027,-0.05991614395903344,1.3296371739222523,,False,Tuesday,4
2025-04-22,-0.296,66.0199966430664,0.12623571428571428,-0.8990499999999999,True,0.09097415707976464,0.60305,0.1779,0.13060653714051584,2.9276942140206184,,False,Tuesday,4
2025-04-23,0.0,67.5199966430664,0.12623571428571428,0.296,False,0.022720388916553036,-0.296,0.296,0.19130982710220867,3.617315785931254,,False,Wednesday,4
2025-04-24,0.9118,68.72000122070312,0.25649285714285713,0.9118,False,0.017772580528703896,0.0,0.60305,0.15885720034889483,4.296891148829923,,False,Thursday,4
2025-04-25,0.6474,69.87999725341797,0.33430714285714286,-0.2644000000000001,False,0.016880035100543145,0.9118,-0.296,0.19237835865754915,4.496682270581412,,False,Friday,4
2025-04-29,0.4404,67.9000015258789,0.37180714285714284,-0.20699999999999996,False,-0.028334227323430716,0.6474,0.0,0.15290260475372452,3.838976572457474,,False,Tuesday,4
2025-04-30,0.6579,68.44000244140625,0.42350714285714286,0.21750000000000003,False,0.00795288517514292,0.4404,0.9118,0.13096452242688605,3.093704415021198,,False,Wednesday,4
2025-05-02,0.3596749999999999,70.05999755859375,0.3887392857142857,-0.29822500000000013,False,0.023670296016929937,0.6579,0.6474,0.15773478745737646,1.3981623332656326,,False,Friday,5
2025-05-05,0.6865,70.0999984741211,0.5290964285714286,0.3268250000000001,False,0.0005709522826329305,0.3596749999999999,0.4404,0.06179948558787429,1.0708066035620563,,False,Monday,5
2025-05-06,-0.0714499999999999,71.77999877929688,0.5188892857142857,-0.7579499999999999,True,0.023965768070536964,0.6865,0.6579,0.06309245183690226,1.3094367456193112,,False,Tuesday,5
2025-05-07,0.148,70.27999877929688,0.40977499999999994,0.2194499999999999,False,-0.020897186201020657,-0.0714499999999999,0.3596749999999999,0.022700778970937696,1.2761087695715594,,False,Wednesday,5
2025-05-08,0.8163,72.08000183105469,0.43390357142857144,0.6683,False,0.025611882228547378,0.148,0.6865,0.031482608244222776,1.5476796497651204,,False,Thursday,5
2025-05-09,0.354,72.66000366210938,0.42156071428571434,-0.46230000000000004,True,0.008046640071043942,0.8163,-0.0714499999999999,0.07010312266953744,1.4680086974700477,,False,Friday,5
2025-05-12,0.33155,74.30000305175781,0.37493928571428575,-0.02244999999999997,False,0.022570868524517618,0.354,0.148,0.08562244887949122,1.5832417460729387,,False,Monday,5
2025-05-13,-0.10185,75.58000183105469,0.30900714285714287,-0.4334,True,0.01722743912143887,0.33155,0.8163,0.07878967263514891,2.0025475681781697,,False,Tuesday,5
2025-05-14,0.3612,75.58000183105469,0.2625357142857143,0.46305,False,0.0,-0.10185,0.354,0.07817408667928372,2.025867183669622,,False,Wednesday,5
2025-05-15,0.2263,74.77999877929688,0.3050714285714286,-0.13490000000000002,False,-0.01058485091791972,0.3612,0.33155,0.04179437240204131,1.9974607670218087,,False,Thursday,5
2025-05-19,0.0,75.80000305175781,0.2839285714285714,-0.2263,False,0.013640068054445287,0.2263,-0.10185,0.07854303312946298,1.4893587740229537,-0.8929348578425752,False,Monday,5
2025-05-20,-0.0696,77.0199966430664,0.15737142857142855,-0.0696,False,0.016094901612016432,0.0,0.3612,0.06853488743785507,1.3743553477549049,-1.036132306660012,False,Tuesday,5
2025-05-21,-0.3404,77.55999755859375,0.05817142857142858,-0.2708,False,0.007011178123388806,-0.0696,0.2263,0.06743729217618544,1.1527588487663627,-1.7255647801829341,False,Wednesday,5
2025-05-22,0.5942500000000001,76.86000061035156,0.09570000000000002,0.93465,False,-0.009025231695157898,-0.3404,0.0,0.03445487824287752,0.9912845939776929,1.1213691366157832,False,Thursday,5
2025-05-23,0.42405,74.41999816894531,0.1708285714285714,-0.17020000000000007,False,-0.03174606325826168,0.5942500000000001,-0.0696,-0.015348023736521665,1.1842533137445557,0.5589601817598459,False,Friday,5
2025-05-26,0.2644666666666667,76.33999633789062,0.15700952380952385,-0.1595833333333333,False,0.025799492289513504,0.42405,-0.3404,0.01005549733294231,1.17381708717114,0.04236246697252633,False,Monday,5
2025-05-27,0.70535,76.16000366210938,0.22544523809523812,0.44088333333333335,False,-0.002357776845895776,0.2644666666666667,0.5942500000000001,0.01845419771783363,1.018551094632637,1.309228154395099,False,Tuesday,5
2025-05-28,0.1474333333333333,77.22000122070312,0.24650714285714287,-0.5579166666666667,True,0.013918034501370524,0.70535,0.42405,0.018733484324211735,1.041528178204508,-0.4041918360053919,False,Wednesday,5
2025-05-29,0.0772,77.0999984741211,0.2674785714285714,-0.0702333333333333,False,-0.001554037097708072,0.1474333333333333,0.2644666666666667,0.001038715068054863,1.0484547778992932,-0.6313080980178744,False,Thursday,5
2025-05-30,0.1364636363636363,77.76000213623047,0.33560194805194804,0.05926363636363628,False,0.00856035895164009,0.0772,0.70535,0.002578707889793641,1.0835664646499688,-0.4670229884507587,False,Friday,5
