date,avg_sentiment,Close,sentiment_7d,sentiment_change,sentiment_lag1,sentiment_lag3,stock_price_return,return_7d,volatility_7d,sentiment_zscore,alert,alert_combined,weekday,month
2025-03-06,0.0,25.739999771118164,,,,,,,,,False,False,Thursday,3
2025-03-19,-0.156225,25.280000686645508,,-0.156225,0.0,,-0.01787098246165497,,,,False,False,Wednesday,3
2025-05-06,0.266525,29.57999992370605,,0.42275,-0.156225,,0.17009490190924215,,,,False,False,Tuesday,5
2025-05-07,0.1523466666666666,30.34000015258789,,-0.11417833333333341,0.266525,0.0,0.025693043639015034,,,,False,False,Wednesday,5
2025-05-08,0.2451333333333333,29.82999992370605,,0.09278666666666668,0.1523466666666666,-0.156225,-0.01680949987860625,,,,False,False,Thursday,5
2025-05-13,0.1591,28.350000381469727,,-0.0860333333333333,0.2451333333333333,0.266525,-0.04961446684618198,,,,False,False,Tuesday,5
2025-05-14,0.26115,28.350000381469727,0.13257571428571427,0.10205,0.1591,0.1523466666666666,0.0,,1.9901087706598626,,False,False,Wednesday,5
2025-05-15,0.0,28.530000686645508,0.13257571428571427,-0.26115,0.26115,0.2451333333333333,0.006349217028350784,0.10839164492370723,1.6659672282953994,,False,False,Thursday,5
2025-05-19,-0.25,29.059999465942383,0.11917928571428571,-0.25,0.0,0.1591,0.018576893324259824,0.14952526410704214,0.7890800481864773,,False,False,Monday,5
2025-05-22,0.1358666666666666,28.690000534057617,0.10051380952380949,0.3858666666666666,-0.25,0.26115,-0.012732241523899401,-0.030087876671533342,0.7796242576511632,,False,False,Thursday,5
2025-05-23,0.0,28.989999771118164,0.07874999999999999,-0.1358666666666666,0.1358666666666666,0.0,0.010456578301712538,-0.04449572757680342,0.5242270424340163,,False,False,Friday,5
2025-05-26,0.2732,29.36000061035156,0.0827595238095238,0.2732,0.0,-0.25,0.012763050781463559,-0.015755927407193226,0.3866275122823104,,False,False,Monday,5
2025-05-28,0.0,28.3216495513916,0.060030952380952365,-0.2732,0.2732,0.1358666666666666,-0.03536617974707612,-0.001000029266195579,0.3917700475835624,,False,False,Wednesday,5
2025-05-30,0.4588,28.84000015258789,0.08826666666666665,0.4588,0.0,0.0,0.018302274387503648,0.01728394231128272,0.34820296979101123,,False,False,Friday,5
