company_name,date,avg_sentiment
Deutsche Bank,2025-05-19,-0.12001666666666667
Deutsche Bank,2025-05-26,0.1324188888888889
Deutsche Börse,2025-01-13,0.0
Deutsche Börse,2025-01-20,0.6841
Deutsche Börse,2025-01-27,0.4019
Deutsche Börse,2025-02-03,0.148
Deutsche Börse,2025-02-10,0.16248
Deutsche Börse,2025-02-17,0.14281428571428573
Deutsche Börse,2025-02-24,0.13957999999999998
Deutsche Börse,2025-03-03,-0.1027
Deutsche Börse,2025-03-10,0.08801666666666667
Deutsche Börse,2025-03-17,0.0
Deutsche Börse,2025-03-24,0.2787
Deutsche Börse,2025-03-31,0.0
Deutsche Börse,2025-04-07,0.1978
Deutsche Börse,2025-04-14,0.0
Deutsche Börse,2025-04-21,0.0
Deutsche Börse,2025-04-28,0.04795555555555556
Deutsche Börse,2025-05-05,0.025675
Deutsche Börse,2025-05-12,0.43105714285714286
Deutsche Börse,2025-05-19,0.23498181818181818
Deutsche Börse,2025-05-26,0.1991
Deutsche Post,2025-01-20,0.2023
Deutsche Post,2025-01-27,0.0010285714285714262
Deutsche Post,2025-02-03,-0.2358
Deutsche Post,2025-02-10,0.3818
Deutsche Post,2025-02-17,0.0
Deutsche Post,2025-02-24,-0.37905714285714287
Deutsche Post,2025-03-03,0.005181818181818187
Deutsche Post,2025-03-10,-0.15246666666666667
Deutsche Post,2025-03-17,-0.036825
Deutsche Post,2025-03-24,-0.33005
Deutsche Post,2025-03-31,0.0
Deutsche Post,2025-04-07,-0.08246666666666667
Deutsche Post,2025-04-21,0.028500000000000008
Deutsche Post,2025-04-28,0.2042125
Deutsche Post,2025-05-12,0.16962
Deutsche Post,2025-05-19,0.26139999999999997
Deutsche Post,2025-05-26,0.0
Deutsche Telekom,2025-02-24,0.23835
Deutsche Telekom,2025-03-03,0.125
Deutsche Telekom,2025-03-24,0.5267
Deutsche Telekom,2025-03-31,0.10606666666666666
Deutsche Telekom,2025-04-07,0.0
Deutsche Telekom,2025-04-14,0.08728
Deutsche Telekom,2025-04-21,0.3528
Deutsche Telekom,2025-05-05,0.1261
Deutsche Telekom,2025-05-12,0.32335
Deutsche Telekom,2025-05-19,0.2088423076923077
Deutsche Telekom,2025-05-26,0.12342962962962963
Deutsche Wohnen,2021-08-30,0.0
Deutsche Wohnen,2025-01-06,0.0
Deutsche Wohnen,2025-01-20,0.0
Deutsche Wohnen,2025-01-27,0.0
Deutsche Wohnen,2025-02-03,0.0
Deutsche Wohnen,2025-02-10,0.0
Deutsche Wohnen,2025-02-17,-0.5267
Deutsche Wohnen,2025-02-24,0.08974999999999998
Deutsche Wohnen,2025-04-07,0.743
Deutsche Wohnen,2025-04-28,0.0
Deutsche Wohnen,2025-05-12,0.0
Deutsche Wohnen,2025-05-19,0.2263
E.ON,2025-02-24,0.1861142857142857
E.ON,2025-03-03,0.38355
E.ON,2025-03-17,0.0
E.ON,2025-03-24,0.11324285714285713
E.ON,2025-03-31,0.1366
E.ON,2025-04-07,0.0
E.ON,2025-04-14,0.09632500000000001
E.ON,2025-04-21,0.27423333333333333
E.ON,2025-04-28,-0.006799999999999987
E.ON,2025-05-05,0.0
E.ON,2025-05-12,0.16524736842105262
E.ON,2025-05-19,0.14832
E.ON,2025-05-26,0.12020555555555555
Fresenius,2025-01-20,0.4717888888888889
Fresenius,2025-01-27,0.3612
Fresenius,2025-02-10,0.0
Fresenius,2025-02-24,0.4947214285714286
Fresenius,2025-03-03,0.2452
Fresenius,2025-03-10,0.7506
Fresenius,2025-03-17,0.4939
Fresenius,2025-03-24,0.6034333333333334
Fresenius,2025-03-31,0.6001333333333333
Fresenius,2025-04-07,0.41352500000000003
Fresenius,2025-04-14,0.6144499999999999
Fresenius,2025-04-21,0.62225
Fresenius,2025-04-28,0.5521
Fresenius,2025-05-05,0.53246
Fresenius,2025-05-12,0.265
Fresenius,2025-05-19,0.5106066666666667
Fresenius,2025-05-26,0.48869999999999997
Fresenius Medical Care,2025-01-20,0.7054
Fresenius Medical Care,2025-02-24,0.63868
Fresenius Medical Care,2025-03-03,0.5349333333333334
Fresenius Medical Care,2025-03-10,0.23756666666666668
Fresenius Medical Care,2025-03-17,0.6597
Fresenius Medical Care,2025-03-31,0.24695
Fresenius Medical Care,2025-04-07,-0.01815
Fresenius Medical Care,2025-04-14,0.22139999999999999
Fresenius Medical Care,2025-04-21,0.6486
Fresenius Medical Care,2025-04-28,0.0
Fresenius Medical Care,2025-05-05,0.5755
Fresenius Medical Care,2025-05-12,0.20804999999999998
Fresenius Medical Care,2025-05-19,0.6913
Fresenius Medical Care,2025-05-26,0.0
Hannover Rück,2025-01-06,0.028450000000000003
Hannover Rück,2025-01-13,0.0
Hannover Rück,2025-01-20,0.0
Hannover Rück,2025-01-27,0.3182
Hannover Rück,2025-02-03,0.009899999999999997
Hannover Rück,2025-02-10,0.088575
Hannover Rück,2025-02-17,0.2865
Hannover Rück,2025-02-24,0.0
Hannover Rück,2025-03-03,0.0
Hannover Rück,2025-03-10,0.31107500000000005
Hannover Rück,2025-03-17,0.0
Hannover Rück,2025-03-24,-0.09949999999999998
Hannover Rück,2025-03-31,0.0
Hannover Rück,2025-04-07,0.10857692307692307
Hannover Rück,2025-04-14,0.0
Hannover Rück,2025-04-21,0.0
Hannover Rück,2025-04-28,0.0
Hannover Rück,2025-05-05,0.0
Hannover Rück,2025-05-12,-0.016531249999999994
Hannover Rück,2025-05-19,0.11546000000000001
Hannover Rück,2025-05-26,0.4019
Heidelberg Materials,2025-02-17,0.5859
Heidelberg Materials,2025-02-24,0.2296642857142857
Heidelberg Materials,2025-03-03,0.7003
Heidelberg Materials,2025-03-10,0.1627333333333333
Heidelberg Materials,2025-03-17,0.24503333333333333
Heidelberg Materials,2025-03-24,0.2097
Heidelberg Materials,2025-03-31,0.16846
Heidelberg Materials,2025-04-07,0.08568571428571428
Heidelberg Materials,2025-04-14,0.1350083333333333
Heidelberg Materials,2025-04-21,0.10197500000000001
