company_name,date,avg_sentiment
Qiagen,2025-03-01,0.06982307692307692
Qiagen,2025-04-01,0.17027142857142857
Qiagen,2025-05-01,0.1924962962962963
RWE,2025-04-01,-0.011399999999999993
RWE,2025-05-01,0.035757303370786524
Rheinmetall,2025-03-01,0.28178571428571425
Rheinmetall,2025-04-01,0.2495875
Rheinmetall,2025-05-01,0.16858701298701298
SAP,2025-05-01,0.08630729166666666
Sartorius,2018-02-01,-0.3612
Sartorius,2018-06-01,-0.0772
Sartorius,2020-11-01,0.0
Sartorius,2021-11-01,0.2263
Sartorius,2022-08-01,0.1779
Sartorius,2023-04-01,0.0
Sartorius,2023-06-01,0.0
Sartorius,2024-11-01,0.0
Sartorius,2025-01-01,0.13955
Sartorius,2025-02-01,0.30726666666666663
Sartorius,2025-03-01,0.12697999999999998
Sartorius,2025-04-01,0.21221
Sartorius,2025-05-01,-0.01121818181818181
Siemens,2025-04-01,0.0
Siemens,2025-05-01,0.13902448979591836
Siemens Energy,2025-01-01,0.2732
Siemens Energy,2025-02-01,0.2732
Siemens Energy,2025-03-01,0.30286
Siemens Energy,2025-04-01,0.3133409090909091
Siemens Energy,2025-05-01,0.36117727272727274
Siemens Healthineers,2025-01-01,0.0
Siemens Healthineers,2025-02-01,0.1458235294117647
Siemens Healthineers,2025-03-01,0.1288176470588235
Siemens Healthineers,2025-04-01,0.15061904761904762
Siemens Healthineers,2025-05-01,0.11558235294117647
Volkswagen,2025-05-01,-0.056070408163265306
Vonovia,2025-03-01,-0.17113333333333333
Vonovia,2025-05-01,0.16157777777777776
Zalando,2025-01-01,0.4449571428571429
Zalando,2025-02-01,0.14756666666666668
Zalando,2025-03-01,0.23940799999999998
Zalando,2025-04-01,0.06206250000000001
Zalando,2025-05-01,0.21126744186046512
adidas,2025-04-01,0.12732500000000002
adidas,2025-05-01,0.3244625
adidas,2025-06-01,0.46655
airbus,2025-04-01,-0.10271739130434782
airbus,2025-05-01,0.08147714285714286
airbus,2025-06-01,0.62465
allianz,2025-04-01,0.48433333333333334
allianz,2025-05-01,0.37857142857142856
basf,2025-05-01,-0.5994
bayer,2025-04-01,-0.09817499999999998
bayer,2025-05-01,0.48415151515151517
bayer,2025-06-01,0.1901
bmw,2025-04-01,0.05042
bmw,2025-05-01,0.19225964912280702
bmw,2025-06-01,-0.8591
commerzbank,2025-06-01,-0.0258
continental,2025-04-01,0.5272909090909091
continental,2025-05-01,0.3155057142857143
continental,2025-06-01,0.4215
daimler truck,2025-04-01,0.4995
daimler truck,2025-05-01,0.220775
delivery hero,2025-05-01,0.6349
deutsche bank,2025-04-01,0.020390476190476188
deutsche bank,2025-05-01,0.2822818181818182
deutsche telekom,2025-04-01,-0.9136
e.on,2025-05-01,0.8126
hellofresh,2025-04-01,0.401
mercedes-benz group,2025-04-01,0.185475
mercedes-benz group,2025-05-01,0.22894285714285714
mercedes-benz group,2025-06-01,-0.8591
merck,2025-04-01,-0.23941428571428575
merck,2025-05-01,0.12912307692307692
merck,2025-06-01,0.4723
porsche ag,2025-04-01,0.7906
porsche ag,2025-05-01,-0.19080000000000003
rheinmetall,2025-04-01,0.28565
rheinmetall,2025-05-01,0.13940000000000002
rwe,2025-05-01,0.8126
rwe,2025-06-01,0.5574
sap,2025-04-01,0.26693478260869563
sap,2025-05-01,0.33908076923076924
sap,2025-06-01,0.44836666666666664
siemens,2025-04-01,0.5866833333333333
siemens,2025-05-01,0.5910277777777778
siemens,2025-06-01,0.4161333333333334
siemens energy,2025-04-01,0.7025666666666667
siemens energy,2025-05-01,0.796375
zalando,2025-05-01,-0.17690000000000003
